index,show/id,show/cache_time,show/canonical_name,show/clips_count,show/description,show/episodes_count,show/feature_films_count,show/film_clips_count,show/genre,show/genres,show/is_movie,show/is_showtime_only,show/is_subscriber_only,show/link_description,show/name,show/rating,show/seasons_count,show/series_id,show/thumbnail_url,show/key_art_url,show/type,show/videos_count,show/availability/0,show/availability/1,show/availability/2,show/is_coppa,show/is_web_only,show/available_package_ids,show/company/id,show/company/channel_id,show/company/name,show/company/short_name,show/company/canonical_name,show/company/key_art_url,show/company/network_logo_url,show/company/has_logo_url
0,54,2017-08-10T14:53:04+00:00,family-guy,288,The adventures of an endearingly ignorant dad and his hilariously odd family of middle-class New Englanders.,288,0,0,Animation and Cartoons,Animation and Cartoons~Primetime Animation|Teen|Comedy~Sitcoms,False,False,False,"For insider news, photos, and more visit the official <a href=""http://www.fox.com/familyguy/"" target=""_blank"">Family Guy website</a>",Family Guy,4.35370739,15,11730,https://ib.hulu.com/show/54?size=476x268&region=US,https://ib.hulu.com/show_key_art/54?size=1600x600&region=US,show,576,web,living_room,mobile,False,False,"1,2,14",8,2,FOX,FOX,fox,https://ib1.hulu.com/company_key_art/8?size=1600x600&region=US,https://ib1.hulu.com/company_logo/8?bg=dim&color=0&format=png&region=US,True
1,6979,2017-08-10T14:14:33+00:00,south-park,3874,"Underpants-stealing gnomes, a talking Christmas poo, metrosexual Crab People…Every episode of this critically-acclaimed and award-winning show is packed with unforgettable adventures, cutting satire, and hilarious absurdity – from pissed off celebrities to talking towels to crime-fighting kids. So join Kyle, Stan, Kenny and Cartman for the all the dysfunction and all the excitement. For them, it's just a part of growing up in South Park!",274,0,0,Comedy,Comedy|Animation and Cartoons~Primetime Animation,False,False,False,"For more on this show, visit the official <a href=""http://www.southparkstudios.com/"" target=""_blank"">South Park</a> site.",South Park,4.36303207,20,50003814,https://ib3.hulu.com/show/6979?size=476x268&region=US,https://ib3.hulu.com/show_key_art/6979?size=1600x600&region=US,show,4148,web,living_room,mobile,False,False,"1,2,14",99,129,Comedy Central,Comedy Central,comedy-central,https://ib4.hulu.com/company_key_art/99?size=1600x600&region=US,https://ib4.hulu.com/company_logo/99?bg=dim&color=0&format=png&region=US,True
2,53,2017-08-10T14:46:51+00:00,american-dad,121,This screwball family full of radically different personalities is just trying to figure out how to love and trust one another in a bi-partisan world.,172,0,0,Comedy,Comedy~Sitcoms|Animation and Cartoons~Primetime Animation,False,False,False,"For insider news, photos, and more visit the official <a href=""http://www.fox.com/americandad/"" target=""_blank"">American Dad! website</a>",American Dad!,4.114006824,9,379,https://ib4.hulu.com/show/53?size=476x268&region=US,https://ib4.hulu.com/show_key_art/53?size=1600x600&region=US,show,293,web,living_room,mobile,False,False,"1,2,14",10,45,Fox Television Classics,Fox Television Classics,fox-television-classics,https://ib2.hulu.com/company_key_art/10?size=1600x600&region=US,https://ib2.hulu.com/company_logo/10?bg=dim&color=0&format=png&region=US,True
3,389,2017-08-10T15:00:39+00:00,law-and-order-special-victims-unit,176,"This hard-hitting and emotional series from NBC's ""Law & Order"" brand chronicles the life and crimes of the Special Victims Unit of the New York City Police Department, an elite squad of detectives who investigate sexually based crimes. ",406,0,0,Drama,Drama~Crime and Courtroom Drama|Drama~Mystery,False,False,False,,Law & Order: Special Victims Unit,4.622855997,18,260,https://ib4.hulu.com/show/389?size=476x268&region=US,https://ib4.hulu.com/show_key_art/389?size=1600x600&region=US,show,582,web,living_room,mobile,False,False,"1,2,5,14",2,24,NBC,NBC,nbc,https://ib.hulu.com/company_key_art/2?size=1600x600&region=US,https://ib.hulu.com/company_logo/2?bg=dim&color=0&format=png&region=US,True
4,1603,2017-08-10T14:54:31+00:00,naruto-shippuden,16,"The Village Hidden in the Leaves is home to the stealthiest ninja in the land.  But twelve years earlier, a fearsome Nine-tailed Fox terrorized the village before it was subdued and its spirit sealed within the body of a baby boy.  Now that boy, Naruto, has grown up to become a hyperactive ninja-in-training who's more interested in pranks than schoolwork...but Naruto is determined to become the greatest ninja ever!",597,0,0,Anime,Anime~Anime - Action Adventure|Action and Adventure|International~Japanese,False,False,False,,Naruto Shippuden,4.400626276,9,10960,https://ib2.hulu.com/show/1603?size=476x268&region=US,https://ib2.hulu.com/show_key_art/1603?size=1600x600&region=US,show,613,web,living_room,mobile,False,False,"1,2,14",960,50000741,Viz Media,Viz Media,viz-media,https://ib4.hulu.com/company_key_art/960?size=1600x600&region=US,,False
5,23104,2017-08-10T15:20:19+00:00,seinfeld,63,"Emmy award-winning ""Seinfeld"" is one of the most popular shows on the air. Mining his rich comedic resources, Jerry Seinfeld provides a hysterical look at life as a single adult in the '90s. Along with a refreshing cast and top-notch writing, this series is quickly becoming a comedy classic.",171,0,0,Comedy,Comedy~Sitcoms,False,False,False,,Seinfeld,4.366506162,9,50020894,https://ib.hulu.com/show/23104?size=476x268&region=US,https://ib.hulu.com/show_key_art/23104?size=1600x600&region=US,show,234,web,living_room,mobile,False,False,"1,2,14",603,50000375,Sony Pictures Television,Sony Pictures Television,sony-pictures-television,https://ib3.hulu.com/company_key_art/603?size=1600x600&region=US,,False
6,2553,2017-08-10T15:51:53+00:00,modern-family,68,"Today's American families come in all shapes and sizes. The cookie cutter mold of man + wife + 2.5 kids is a thing of the past, as it becomes quickly apparent in the bird's eye view of ABC's half-hour comedy, which takes an honest and often hilarious look at the composition and complexity of modern family life.",22,0,0,Comedy,Comedy~Sitcoms|Teen|Family,False,False,False,"Cast bios, photos and chat: Interact on the official <a href=""http://beta.abc.go.com/shows/modernfamily?CID=09_Hulu_ABC"" target=""_blank"">Modern Family</a> website.",Modern Family,4.640557002,1,13628,https://ib2.hulu.com/show/2553?size=476x268&region=US,https://ib2.hulu.com/show_key_art/2553?size=1600x600&region=US,show,90,web,living_room,mobile,False,False,"1,2,5,14",231,282,ABC,ABC,abc,https://ib.hulu.com/company_key_art/231?size=1600x600&region=US,https://ib.hulu.com/company_logo/231?bg=dim&color=0&format=png&region=US,True
7,22416,2017-08-10T14:41:25+00:00,adventure-time,223,"It's one crazy adventure after another for human boy, Finn, and his best friend, Jake, a 28-year old dog with magical powers. They're out to have the most fun possible and they sure do find it exploring the Land of Ooo! Whether it's saving Princess Bubblegum, battling zombie candy, taunting the Ice King or rocking out with Marceline the Vampire Queen, with Finn and Jake it's always ADVENTURE TIME!",223,0,0,Kids,Kids|Animation and Cartoons|Teen,False,False,False,,Adventure Time,4.36580305,7,50020481,https://ib.hulu.com/show/22416?size=476x268&region=US,https://ib.hulu.com/show_key_art/22416?size=1600x600&region=US,show,446,web,living_room,mobile,True,False,"1,2,14",855,50000651,Cartoon Network,Cartoon Network,cartoon-network,https://ib2.hulu.com/company_key_art/855?size=1600x600&region=US,,False
8,77,2017-08-10T15:01:46+00:00,saturday-night-live,7073,NBC in association with Broadway Video Enterprises bring you the landmark sketch comedy series.,370,0,0,Comedy,Comedy~Sketch Comedy|Comedy~Late Night Comedy,False,False,False,"For insider news, photos, and more visit the official <a href=""http://www.nbc.com/Saturday_Night_Live/"" target=""_blank"">Saturday Night Live website</a>",Saturday Night Live,4.083795347,18,8765,https://ib.hulu.com/show/77?size=476x268&region=US,https://ib.hulu.com/show_key_art/77?size=1600x600&region=US,show,7443,web,living_room,mobile,False,False,"1,2,14",2,24,NBC,NBC,nbc,https://ib.hulu.com/company_key_art/2?size=1600x600&region=US,https://ib.hulu.com/company_logo/2?bg=dim&color=0&format=png&region=US,True
9,11248,2017-08-10T14:58:23+00:00,the-mindy-project,23,"A single-camera comedy, starring Mindy Kaling, that follows a skilled OB/GYN navigating the tricky waters of both her personal and professional life, as she pursues her dreams of becoming the perfect woman, finding the perfect man and getting her perfect romantic comedy ending.",107,0,0,Comedy,Comedy~Sitcoms,False,False,False,,The Mindy Project,4.440965244,5,50007572,https://ib1.hulu.com/show/11248?size=476x268&region=US,https://ib1.hulu.com/show_key_art/11248?size=1600x600&region=US,show,130,web,living_room,mobile,False,False,"1,2,14",492,50000249,Hulu Original Series,Hulu Original Series,hulu-original-series,https://ib4.hulu.com/company_key_art/492?size=1600x600&region=US,,False
